what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1410616833823
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1410616833825
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1410616833853
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1410616833860
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1410616833867
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1410616833875
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1410616833904
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1410616833904
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1410616833904
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1410616833913
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1410616833914
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1410616833915
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1410616833920
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1410616833921
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1410616833923
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1410616833926
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1410616833927
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1410616833981
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1410616833982
os,sysinfo,,,"win32",1410616833985
arch,sysinfo,,,"x86",1410616833985
ws,sysinfo,,,"win32",1410616833985
locale,sysinfo,,,"zh_CN",1410616833985
processors,sysinfo,,,"2",1410616833985
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1410616833985
java.runtime.version,sysinfo,,,"1.5.0_09-b01",1410616833986
java.specification.name,sysinfo,,,"Java Platform API Specification",1410616833986
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410616833986
java.specification.version,sysinfo,,,"1.5",1410616833986
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1410616833986
java.version,sysinfo,,,"1.5.0_09",1410616833986
java.vm.info,sysinfo,,,"mixed mode",1410616833986
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1410616833986
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1410616833986
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1410616833986
java.vm.specification.version,sysinfo,,,"1.0",1410616833986
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1410616833986
java.vm.version,sysinfo,,,"1.5.0_09-b01",1410616833986
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1410616834031
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1410616834206
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1410616834216
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1410616834232
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1410616834247
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1410616834288
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1410616834697
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1410616834742
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1410616834743
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1410616834974
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1410616835446
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1410616835515
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1410616835612
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1410616835672
